battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-32662_K,K0-0.33WO3,K0WO3,K0.33WO3,WO3,K,3,0.003856958,0.007036019,"[InsertionVoltagePairDoc(max_delta_volume=6.237922114515904e-05, average_voltage=3.2501597429999904, capacity_grav=18.740623577522904, capacity_vol=117.66935349069973, energy_grav=60.9100203103814, energy_vol=382.44419570030766, fracA_charge=0.0, fracA_discharge=0.04, formula_charge='WO3', formula_discharge='K(WO3)6', stability_charge=0.0038569575000000356, stability_discharge=0.0, id_charge=MPID(mp-32662), id_discharge=MPID(mp-34278)), InsertionVoltagePairDoc(max_delta_volume=0.000323570230080783, average_voltage=2.8405719329999997, capacity_grav=9.243951451299122, capacity_vol=58.85371389524109, energy_grav=26.258109042574898, energy_vol=167.17820784363394, fracA_charge=0.04, fracA_discharge=0.058823529411764705, formula_charge='K(WO3)6', formula_discharge='K(WO3)4', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-34278), id_discharge=MPID(mp-757494)), InsertionVoltagePairDoc(max_delta_volume=0.008891966816039876, average_voltage=1.9403035330000133, capacity_grav=9.120953751752756, capacity_vol=58.3350010021166, energy_grav=17.6974187888556, energy_vol=113.18760854196616, fracA_charge=0.058823529411764705, fracA_discharge=0.07692307692307693, formula_charge='K(WO3)4', formula_discharge='K(WO3)3', stability_charge=0.0, stability_discharge=0.007036018942308431, id_charge=MPID(mp-757494), id_discharge=MPID(mp-1178157))]",36.48381501,102.8952574,233.340004,658.0885188,2.820298738,mp-32662,mp-1178157,Hexagonal,185,Monoclinic,9
mp-2164_K,K0-0.5Mo3S4,K0Mo3S4,K0.5Mo3S4,Mo3S4,K,1,0.064810571,0.043816741,"[InsertionVoltagePairDoc(max_delta_volume=0.07506475691664605, average_voltage=1.938007642999999, capacity_grav=30.761808691364998, capacity_vol=151.3124140569217, energy_grav=59.61662035636916, energy_vol=293.2446149230948, fracA_charge=0.0, fracA_discharge=0.06666666666666667, formula_charge='Mo3S4', formula_discharge='K(Mo3S4)2', stability_charge=0.06481057071428875, stability_discharge=0.043816740666668075, id_charge=MPID(mp-2164), id_discharge=MPID(mp-1103534))]",30.76180869,59.61662036,151.3124141,293.2446149,1.938007643,mp-2164,mp-1103534,Trigonal,148,Trigonal,148
mp-24133_K,K0-2NiH12(SO7)2,K0NiH12(SO7)2,K2NiH12(SO7)2,NiH12(SO7)2,K,1,0.051400145,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.10204460196043152, average_voltage=5.152054105499992, capacity_grav=122.63124819890226, capacity_vol=267.2569135919383, energy_grav=631.8028257457429, energy_vol=1376.9220788946025, fracA_charge=0.0, fracA_discharge=0.06451612903225806, formula_charge='NiH12(SO7)2', formula_discharge='K2NiH12(SO7)2', stability_charge=0.0514001446551724, stability_discharge=0.0, id_charge=MPID(mp-1101430), id_discharge=MPID(mp-24133))]",122.6312482,631.8028257,267.2569136,1376.922079,5.152054105,mp-1101430,mp-24133,Monoclinic,14,Monoclinic,14
mp-585184_K,K0-1Mo2P3O13,K0Mo2P3O13,K1Mo2P3O13,Mo2P3O13,K,1,0.0,0.000225421,"[InsertionVoltagePairDoc(max_delta_volume=0.007562897772039889, average_voltage=4.181281260499979, capacity_grav=50.38897356719829, capacity_vol=150.27579613926557, energy_grav=210.690470912355, energy_vol=628.3453703038263, fracA_charge=0.0, fracA_discharge=0.05263157894736842, formula_charge='Mo2P3O13', formula_discharge='KMo2P3O13', stability_charge=0.0, stability_discharge=0.00022542078947296318, id_charge=MPID(mp-585184), id_discharge=MPID(mp-1223883))]",50.38897357,210.6904709,150.2757961,628.3453703,4.18128126,mp-585184,mp-1223883,Monoclinic,4,Monoclinic,14
mp-1070735_K,K0.38-0.5FeSe,K0.38FeSe,K0.5FeSe,FeSe,K,2,0.026175439,0.032782775,"[InsertionVoltagePairDoc(max_delta_volume=0.009495098782881017, average_voltage=1.494926212999976, capacity_grav=4.453721008769875, capacity_vol=21.133547029966802, energy_grav=6.657984281398783, energy_vol=31.593093428765165, fracA_charge=0.15789473684210525, fracA_discharge=0.16666666666666666, formula_charge='K3(FeSe)8', formula_discharge='K2(FeSe)5', stability_charge=0.026175438684211016, stability_discharge=0.026357554166668073, id_charge=MPID(mp-1224651), id_discharge=MPID(mp-1224406)), InsertionVoltagePairDoc(max_delta_volume=0.0133050810153168, average_voltage=1.35159666300001, capacity_grav=17.363628477345046, capacity_vol=83.4242220863682, energy_grav=23.46862230755151, energy_vol=112.755900185307, fracA_charge=0.16666666666666666, fracA_discharge=0.2, formula_charge='K2(FeSe)5', formula_discharge='K(FeSe)2', stability_charge=0.026357554166668073, stability_discharge=0.03278277500000115, id_charge=MPID(mp-1224406), id_discharge=MPID(mp-1070735))]",21.7045356,29.95795815,104.2802776,143.9341643,1.380262573,mp-1224651,mp-1070735,Triclinic,2,Tetragonal,139
mp-2207_K,K0-1NbSe2,K0NbSe2,K1NbSe2,NbSe2,K,1,0.001136218,0.029043324,"[InsertionVoltagePairDoc(max_delta_volume=0.29263278386861047, average_voltage=1.415017098, capacity_grav=92.44291015640302, capacity_vol=474.6854814414303, energy_grav=130.80829846018813, energy_vol=671.6880724119856, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='NbSe2', formula_discharge='KNbSe2', stability_charge=0.0011362175000000363, stability_discharge=0.02904332362499673, id_charge=MPID(mp-2207), id_discharge=MPID(mp-7940))]",92.44291016,130.8082985,474.6854814,671.6880724,1.415017098,mp-2207,mp-7940,Hexagonal,194,Hexagonal,194
mp-8634_K,K0-3Mn,K0Mn,K3Mn,Mn,K,1,0.083098052,0.650281313,"[InsertionVoltagePairDoc(max_delta_volume=16.923236288487622, average_voltage=-0.8393424003333335, capacity_grav=466.83544449693795, capacity_vol=689.3384662767281, energy_grav=-391.8347825447386, energy_vol=-578.5910029268076, fracA_charge=0.0, fracA_discharge=0.75, formula_charge='Mn', formula_discharge='K3Mn', stability_charge=0.08309805206896392, stability_discharge=0.6502813132672411, id_charge=MPID(mp-8634), id_discharge=MPID(mp-1184886))]",466.8354445,-391.8347825,689.3384663,-578.5910029,-0.8393424,mp-8634,mp-1184886,Cubic,225,Cubic,225
mp-26842_K,K0-1Ni(PO3)3,K0Ni(PO3)3,K1Ni(PO3)3,Ni(PO3)3,K,1,0.04759346,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.06250395231947947, average_voltage=5.766348457999989, capacity_grav=80.074316407528, capacity_vol=208.44817826630884, energy_grav=461.73641094195233, energy_vol=1201.9848313188368, fracA_charge=0.0, fracA_discharge=0.07142857142857142, formula_charge='Ni(PO3)3', formula_discharge='KNi(PO3)3', stability_charge=0.04759346048078239, stability_discharge=0.0, id_charge=MPID(mp-26842), id_discharge=MPID(mp-557878))]",80.07431641,461.7364109,208.4481783,1201.984831,5.766348458,mp-26842,mp-557878,Trigonal,146,Trigonal,146
mp-6696_K,K1-2Ti2(PO4)3,K1Ti2(PO4)3,K2Ti2(PO4)3,Ti2(PO4)3,K,2,0.013717248,0.006039528,"[InsertionVoltagePairDoc(max_delta_volume=0.020100198050198692, average_voltage=2.106531302999981, capacity_grav=44.76163157298821, capacity_vol=133.97808322259746, energy_grav=94.29177808185194, energy_vol=282.22902622433816, fracA_charge=0.05555555555555555, fracA_discharge=0.09333333333333334, formula_charge='KTi2(PO4)3', formula_discharge='K7Ti8(PO4)12', stability_charge=0.01371724805555452, stability_discharge=0.005458695446657558, id_charge=MPID(mp-1223415), id_discharge=MPID(mp-1223973)), InsertionVoltagePairDoc(max_delta_volume=0.013361625160346557, average_voltage=1.8641827630000523, capacity_grav=14.602697799012915, capacity_vol=44.07050747272238, energy_grav=27.22209753021868, energy_vol=82.15548038731406, fracA_charge=0.09333333333333334, fracA_discharge=0.10526315789473684, formula_charge='K7Ti8(PO4)12', formula_discharge='K2Ti2(PO4)3', stability_charge=0.005458695446657558, stability_discharge=0.006039528043854325, id_charge=MPID(mp-1223973), id_discharge=MPID(mp-6696))]",58.4107912,119.5052176,176.2820299,360.663191,2.045944168,mp-1223415,mp-6696,Cubic,198,Cubic,198
mp-559343_K,K0-1Cu4(PO4)3,K0Cu4(PO4)3,K1Cu4(PO4)3,Cu4(PO4)3,K,1,0.03756149,0.005049809,"[InsertionVoltagePairDoc(max_delta_volume=0.033533857185310545, average_voltage=4.51486794300002, capacity_grav=46.35359506616474, capacity_vol=180.0939437434096, energy_grav=209.28036040703108, energy_vol=813.100373335569, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Cu4(PO4)3', formula_discharge='KCu4(PO4)3', stability_charge=0.03756149000001141, stability_discharge=0.0050498089375095034, id_charge=MPID(mp-673151), id_discharge=MPID(mp-559343))]",46.35359507,209.2803604,180.0939437,813.1003733,4.514867943,mp-673151,mp-559343,Triclinic,2,Triclinic,2
